id,nome_algoritmo,tam_dado,temp_exec,hardware_id
1,Bubble Sort,100,0.05636,1
2,Bubble Sort,100,0.05971,1
3,Bubble Sort,100,0.06049,1
4,Bubble Sort,100,0.05282,1
5,Bubble Sort,100,0.0552,1
6,Bubble Sort,100,0.04915,1
7,Bubble Sort,100,0.04934,1
8,Bubble Sort,100,0.04975,1
9,Bubble Sort,100,0.05602,1
10,Bubble Sort,100,0.05212,1
11,Bubble Sort,100,0.04944,1
12,Bubble Sort,100,0.04922,1
13,Bubble Sort,100,0.04959,1
14,Bubble Sort,100,0.06003,1
15,Bubble Sort,100,0.05193,1
16,Bubble Sort,100,0.05021,1
17,Bubble Sort,100,0.0501,1
18,Bubble Sort,100,0.04949,1
19,Bubble Sort,100,0.04805,1
20,Bubble Sort,100,0.04691,1
21,Bubble Sort,1000,0.4223,1
22,Bubble Sort,1000,0.3557,1
23,Bubble Sort,1000,0.3358,1
24,Bubble Sort,1000,0.375,1
25,Bubble Sort,1000,0.3714,1
26,Bubble Sort,1000,0.3788,1
27,Bubble Sort,1000,0.3604,1
28,Bubble Sort,1000,0.3652,1
29,Bubble Sort,1000,0.3948,1
30,Bubble Sort,1000,0.3778,1
31,Bubble Sort,10000,2.936,1
32,Bubble Sort,10000,3.052,1
33,Bubble Sort,10000,2.951,1
34,Bubble Sort,10000,2.939,1
35,Bubble Sort,10000,2.918,1
36,Bubble Sort,10000,2.931,1
37,Bubble Sort,10000,2.928,1
38,Bubble Sort,10000,2.994,1
39,Bubble Sort,10000,3.168,1
40,Bubble Sort,10000,2.922,1
41,Bubble Sort,100000,6.486,1
42,Bubble Sort,100000,6.717,1
43,Bubble Sort,100000,6.503,1
44,Bubble Sort,100000,6.487,1
45,Bubble Sort,100000,6.495,1
46,Bubble Sort,100000,6.651,1
47,Bubble Sort,100000,6.499,1
48,Bubble Sort,100000,6.438,1
49,Bubble Sort,100000,6.481,1
50,Bubble Sort,100000,6.667,1
51,Merge Sort,100,0.05067,1
52,Merge Sort,100,0.05266,1
53,Merge Sort,100,0.057,1
54,Merge Sort,100,0.05373,1
55,Merge Sort,100,0.05269,1
56,Merge Sort,100,0.05891,1
57,Merge Sort,100,0.0564,1
58,Merge Sort,100,0.05567,1
59,Merge Sort,100,0.05688,1
60,Merge Sort,100,0.0547,1
61,Merge Sort,100,0.05632,1
62,Merge Sort,100,0.05841,1
63,Merge Sort,100,0.05757,1
64,Merge Sort,100,0.059,1
65,Merge Sort,100,0.05357,1
66,Merge Sort,100,0.05585,1
67,Merge Sort,100,0.05014,1
68,Merge Sort,100,0.05691,1
69,Merge Sort,100,0.05221,1
70,Merge Sort,100,0.05408,1
71,Merge Sort,1000,0.3509,1
72,Merge Sort,1000,0.3549,1
73,Merge Sort,1000,0.3654,1
74,Merge Sort,1000,0.3664,1
75,Merge Sort,1000,0.3473,1
76,Merge Sort,1000,0.3607,1
77,Merge Sort,1000,0.3672,1
78,Merge Sort,1000,0.3479,1
79,Merge Sort,1000,0.3534,1
80,Merge Sort,1000,0.3405,1
81,Merge Sort,10000,2.839,1
82,Merge Sort,10000,2.861,1
83,Merge Sort,10000,2.844,1
84,Merge Sort,10000,2.857,1
85,Merge Sort,10000,2.875,1
86,Merge Sort,10000,2.859,1
87,Merge Sort,10000,2.867,1
88,Merge Sort,10000,2.913,1
89,Merge Sort,10000,2.902,1
90,Merge Sort,10000,2.896,1
91,Merge Sort,100000,6.329,1
92,Merge Sort,100000,6.418,1
93,Merge Sort,100000,6.434,1
94,Merge Sort,100000,6.493,1
95,Merge Sort,100000,6.303,1
96,Merge Sort,100000,6.314,1
97,Merge Sort,100000,6.32,1
98,Merge Sort,100000,6.348,1
99,Merge Sort,100000,6.357,1
100,Merge Sort,100000,6.399,1
101,Quick Sort,100,0.05684,1
102,Quick Sort,100,0.06174,1
103,Quick Sort,100,0.05772,1
104,Quick Sort,100,0.0508,1
105,Quick Sort,100,0.05879,1
106,Quick Sort,100,0.05171,1
107,Quick Sort,100,0.05961,1
108,Quick Sort,100,0.05419,1
109,Quick Sort,100,0.05445,1
110,Quick Sort,100,0.05166,1
111,Quick Sort,100,0.05283,1
112,Quick Sort,100,0.05094,1
113,Quick Sort,100,0.05341,1
114,Quick Sort,100,0.05397,1
115,Quick Sort,100,0.06508,1
116,Quick Sort,100,0.05532,1
117,Quick Sort,100,0.05291,1
118,Quick Sort,100,0.0539,1
119,Quick Sort,100,0.0516,1
120,Quick Sort,100,0.05258,1
121,Quick Sort,1000,0.3495,1
122,Quick Sort,1000,0.3817,1
123,Quick Sort,1000,0.3544,1
124,Quick Sort,1000,0.3724,1
125,Quick Sort,1000,0.3564,1
126,Quick Sort,1000,0.3754,1
127,Quick Sort,1000,0.3534,1
128,Quick Sort,1000,0.3984,1
129,Quick Sort,1000,0.358,1
130,Quick Sort,1000,0.3588,1
131,Quick Sort,1000,0.3486,1
132,Quick Sort,1000,0.3621,1
133,Quick Sort,1000,0.3575,1
134,Quick Sort,1000,0.358,1
135,Quick Sort,1000,0.3636,1
136,Quick Sort,1000,0.366,1
137,Quick Sort,1000,0.376,1
138,Quick Sort,1000,0.363,1
139,Quick Sort,1000,0.3723,1
140,Quick Sort,1000,0.3855,1
141,Quick Sort,10000,2.917,1
142,Quick Sort,10000,2.862,1
143,Quick Sort,10000,2.902,1
144,Quick Sort,10000,2.945,1
145,Quick Sort,10000,2.945,1
146,Quick Sort,10000,2.967,1
147,Quick Sort,10000,2.905,1
148,Quick Sort,10000,2.913,1
149,Quick Sort,10000,2.976,1
150,Quick Sort,10000,2.964,1
151,Quick Sort,10000,2.849,1
152,Quick Sort,10000,2.874,1
153,Quick Sort,10000,2.83,1
154,Quick Sort,10000,2.871,1
155,Quick Sort,10000,2.852,1
156,Quick Sort,10000,3.106,1
157,Quick Sort,10000,2.931,1
158,Quick Sort,10000,2.857,1
159,Quick Sort,10000,2.849,1
160,Quick Sort,10000,2.835,1
161,Quick Sort,100000,6.597,1
162,Quick Sort,100000,6.525,1
163,Quick Sort,100000,6.448,1
164,Quick Sort,100000,6.518,1
165,Quick Sort,100000,6.557,1
166,Quick Sort,100000,6.486,1
167,Quick Sort,100000,6.508,1
168,Quick Sort,100000,6.564,1
169,Quick Sort,100000,6.491,1
170,Quick Sort,100000,6.593,1
171,Quick Sort,100000,6.566,1
172,Quick Sort,100000,6.475,1
173,Quick Sort,100000,6.491,1
174,Quick Sort,100000,6.464,1
175,Quick Sort,100000,6.545,1
176,Quick Sort,100000,6.47,1
177,Quick Sort,100000,6.476,1
178,Quick Sort,100000,6.474,1
179,Quick Sort,100000,6.547,1
180,Quick Sort,100000,6.536,1
